
epoch,loss,ppl,accuracy
0, 3.16309, 23.64349,0.000
1, 3.12052, 22.65820,1.786
2, 3.07616, 21.67502,17.857
3, 3.04343, 20.97703,23.214
4, 2.99027, 19.89109,41.071
5, 2.92285, 18.59428,50.000
6, 2.90660, 18.29445,57.143
7, 2.84677, 17.23205,51.786
8, 2.79169, 16.30854,57.143
9, 2.76285, 15.84488,50.000
10, 2.67086, 14.45236,55.357
11, 2.59540, 13.40192,58.929
12, 2.47376, 11.86697,55.357
13, 2.44155, 11.49082,55.357
14, 2.31536, 10.12861,57.143
15, 2.29399, 9.91438,50.000
16, 2.17843, 8.83243,53.571
17, 2.07050, 7.92875,55.357
18, 2.02579, 7.58209,53.571
19, 1.89676, 6.66427,60.714
20, 1.83840, 6.28649,58.929
21, 1.82449, 6.19964,57.143
22, 1.80200, 6.06177,57.143
23, 1.81565, 6.14507,60.714
24, 1.76228, 5.82569,62.500
25, 1.66941, 5.30903,62.500
26, 1.65686, 5.24281,62.500
27, 1.71954, 5.58197,62.500
28, 1.67219, 5.32383,60.714
29, 1.56857, 4.79977,64.286
30, 1.55334, 4.72723,62.500
31, 1.53523, 4.64240,62.500
32, 1.50384, 4.49891,62.500
33, 1.52025, 4.57335,62.500
34, 1.44464, 4.24033,62.500
35, 1.40908, 4.09219,62.500
36, 1.36925, 3.93238,64.286
37, 1.31383, 3.72041,64.286
38, 1.26402, 3.53962,64.286
39, 1.29762, 3.66057,64.286
40, 1.28366, 3.60982,62.500
41, 1.27020, 3.56156,66.071
42, 1.26372, 3.53855,64.286
43, 1.21931, 3.38485,66.071
44, 1.16654, 3.21086,66.071
45, 1.14965, 3.15710,67.857
46, 1.09791, 2.99788,67.857
47, 1.07644, 2.93421,73.214
48, 1.05325, 2.86694,69.643
49, 1.08682, 2.96484,69.643
50, 1.04294, 2.83755,73.214
51, 1.00322, 2.72706,76.786
52, 0.98603, 2.68057,73.214
53, 0.92907, 2.53217,73.214
54, 0.97022, 2.63854,75.000
55, 0.92925, 2.53261,73.214
56, 0.85007, 2.33981,76.786
57, 0.87552, 2.40012,76.786
58, 0.83779, 2.31126,75.000
59, 0.79323, 2.21053,78.571
60, 0.75832, 2.13470,76.786
61, 0.77105, 2.16204,78.571
62, 0.70351, 2.02083,80.357
63, 0.75851, 2.13509,78.571
64, 0.70671, 2.02731,78.571
65, 0.71215, 2.03837,83.929
66, 0.65485, 1.92486,82.143
67, 0.66029, 1.93535,78.571
68, 0.60997, 1.84037,89.286
69, 0.59042, 1.80475,89.286
70, 0.59054, 1.80496,83.929
71, 0.56913, 1.76673,87.500
72, 0.56896, 1.76644,83.929
73, 0.51865, 1.67975,85.714
74, 0.56279, 1.75556,87.500
75, 0.54921, 1.73189,85.714
76, 0.53173, 1.70187,87.500
77, 0.49980, 1.64840,89.286
78, 0.48273, 1.62050,92.857
79, 0.43017, 1.53753,92.857
80, 0.45137, 1.57046,91.071
81, 0.47100, 1.60159,92.857
82, 0.44446, 1.55964,94.643
83, 0.44626, 1.56246,92.857
84, 0.41128, 1.50875,94.643
85, 0.43343, 1.54254,91.071
86, 0.38231, 1.46567,98.214
87, 0.39469, 1.48393,91.071
88, 0.41765, 1.51839,94.643
89, 0.32640, 1.38596,98.214
90, 0.31151, 1.36549,98.214
91, 0.31740, 1.37356,96.429
92, 0.30818, 1.36094,96.429
93, 0.33314, 1.39535,98.214
94, 0.32164, 1.37938,98.214
